-10560,-2016,19428,29790,17900,32767
-17024,25768,32767,20319,-4142,32767
-1168,14676,22160,12964,-12711,24468
580,2892,23964,1709,-6462,1052
8972,-3528,12184,2568,15637,-4978
-5492,-3808,8220,11593,32767,-15828
-3868,3412,27412,16593,24115,-9771
524,172,16804,3467,19716,-7452
-876,-1740,15332,1897,8596,-2886
-13252,11120,32767,-12572,-32768,7661
-14728,-2112,-18924,-32768,-32768,32767
-7320,6300,32767,19368,32767,-14509
4812,-4572,12072,-1562,-2475,-1249
4964,1560,25348,-580,-1715,-4460
9348,8856,32767,-15212,-812,-1422
7404,24516,32767,-32768,-544,2362
5444,19960,21664,-32768,8327,4819
-724,-1440,11760,-32768,-2378,2078
-1364,-18544,11984,-23949,4529,-3323
-30388,-5876,-5896,32767,32767,6049
