-32768,944,-32240,31014,-32768,32767
-8028,6532,25256,-913,1356,-5361
12548,-4972,20648,4123,18233,-7591
8116,15928,32767,-5405,7856,-3057
11352,30768,32767,-32768,562,7698
-1760,27884,21100,-32768,2875,10001
-4180,-7348,-5172,-32768,14117,-1828
968,-19868,10896,2521,17388,-1227
-32768,-7928,7912,27041,32767,-32768
-14404,-22888,-7116,-17970,-32768,17238
-16512,-20680,7636,-13484,7768,1845
-19444,-13040,-7692,19473,-4058,8523
-19164,6908,8788,32767,-7656,-4043
-27144,3888,32767,22085,599,2711
-11464,-8500,30360,3633,-690,255
1844,-9564,21272,828,4216,9208
2444,3984,15916,6286,14936,23560
-12752,23044,-4648,-12246,30885,32767
-19580,15420,-13224,-23958,32767,23404
-19284,-6204,224,-2793,15168,7954
