380,14192,29892,5000,-26465,24667
11000,32767,16332,-32768,3213,6592
9576,9676,2504,-32768,25350,-32768
5628,-11520,8576,-20618,10285,-17169
1840,-16548,19636,-12794,10652,-12205
-4736,-18532,24852,-3744,11902,-953
-17748,-14444,17700,-6582,20145,17878
-32768,-7832,-11908,15629,20753,9948
-8236,13132,5924,32767,-6208,-17968
-19304,11272,32767,32767,23923,295
-17148,-5052,32767,19113,11528,-1576
-7788,-12556,31884,9133,-4736,3940
-2820,-11040,18656,4220,5650,5989
-6412,-2672,15840,-13576,-3164,18404
-10912,8592,-6364,-16912,1706,32767
-16476,16388,1568,-5059,17482,32767
-15680,7476,5392,-5199,22366,21349
-4740,312,12688,-672,8027,-4116
-2632,140,14356,2141,5941,-255
-2544,176,15352,2146,-2079,-2219
