-19184,1156,13436,588,12112,-9563
-32768,13428,1108,3811,-13471,-30729
-17000,30132,-5980,318,-18535,-32768
4004,11724,15884,13562,-5092,-32768
7180,-11920,18740,-9396,-11942,-9915
-17104,-22392,2200,351,14900,-4991
-17144,-20076,-4624,9902,1842,6567
-18468,-3988,10308,32767,7858,-1309
-23460,-2248,31160,20265,5556,4186
-22928,-6500,32767,13238,-4888,2379
-18000,-11088,30664,3123,-1244,2723
0,-11672,19984,117,-1174,3167
-1992,-6000,12204,4901,12746,15240
-13156,10408,11228,9582,26955,27400
-17932,17712,-5096,-19402,24973,30484
-22908,5372,-4204,-12003,32767,6172
-16516,-10628,1536,-14789,26060,-999
-9332,-1592,11652,-38,15196,-6387
-6892,-3412,8636,-269,7775,-2099
-8312,1800,14200,12734,7295,-1253
