164,27592,26296,-17322,-3281,-92
7108,21088,4008,-32768,697,-13904
3600,-6936,7244,-32768,4986,-25818
4436,-17016,13768,-7963,1838,-8429
-2348,-17848,32767,-2783,5895,-1503
-13108,-18588,31024,-18811,19807,5374
-22980,-10524,12780,-26092,26179,13078
-20056,-4004,-11548,31030,2605,14633
-2688,17776,6300,32767,-23073,7979
-14316,8504,32767,32767,-15825,1510
-7604,-2836,32164,15509,-1091,-4815
-2936,-7132,24820,-1597,-1521,-1009
-2396,-3828,16488,-10333,5808,11644
-7640,6172,4936,-27400,17342,32153
-18812,10220,-6364,-17506,7914,32767
-14808,5024,2524,-7595,10962,19573
-8076,-1092,9936,3411,14618,-4209
-3552,108,13504,725,6579,-3700
-1708,524,16340,1003,4275,-1346
-1012,456,17104,-2449,-4669,-83
