-20544,11348,32767,-24202,-32768,-762
6872,-14912,-5908,-5312,-26929,-1095
5740,1564,20656,3995,441,-746
14412,-2068,32767,-8677,-5756,2721
26488,14236,32767,-32768,5146,10074
14820,21944,32132,-32768,9470,9361
3148,5160,2548,-32768,8966,6661
-11928,-10956,-5712,7579,32767,2224
-26676,312,12648,32767,32767,4599
-17984,9556,3680,32767,4699,8143
-10300,21616,3412,32767,-15239,23966
-17772,29612,26364,32767,-13235,23471
-11872,8424,32767,26474,-12374,1803
-12424,-5612,32767,5710,-4051,2386
-7804,-3444,23528,-12585,-643,-277
-5752,-2888,12788,-26655,-2821,5960
772,800,784,-32768,8619,15473
-15752,7400,-1296,-15920,32767,19179
-6572,7704,4636,-32768,-3185,21018
-8496,11712,8136,434,9082,32562
