20020,-32768,-32768,5049,32767,-1127
-460,324,30784,-11786,-30380,9341
1028,-964,24012,7283,11990,-6731
6956,2820,28248,-7048,-3198,-2629
20108,26504,32767,-32768,3993,6961
9200,32767,20716,-32768,12748,11429
-1020,-3564,-7704,-32768,14982,-1932
-2384,-25440,9456,-3033,13522,-3928
-32768,-9920,6832,26881,32767,-32768
-17784,-22220,-11056,-26527,-32768,13819
-19476,-17352,9308,-12919,14490,1714
-11388,-25220,-18952,22929,-10070,4379
-16900,4016,800,32767,-2821,-2144
-22308,7708,32767,24567,-4517,1172
-12028,-5520,32767,9174,225,723
11432,-3892,21936,8870,6026,10876
10324,14040,9544,5956,28421,31769
-19728,30732,-29408,-14649,32767,31846
-27268,5060,-19420,-22727,32767,9769
-14588,-1816,1156,-3827,8857,3117
