27820,-32768,-32768,-26844,-1201,26271
-6824,2172,26608,-1122,-32768,16646
-4472,5312,23440,3379,26553,-6694
9304,7904,32767,-140,11697,-4957
15600,32767,32767,-32768,-5463,14357
6880,32308,14764,-32768,16357,17739
-6508,896,7756,-25506,19292,-1192
-1952,-20288,5668,-175,21194,-4725
756,-18524,12932,16702,32767,-15473
-32768,-5480,32767,-9055,32767,-5540
-21632,-21860,-12196,-14139,22317,-5169
-19328,-10496,-6980,28455,-22161,3245
-18356,3668,14228,32767,6204,-6991
-22544,2856,32767,27798,-3216,-3584
-14216,-4920,32767,9243,111,-265
1468,-9400,27636,1723,7235,6918
6852,3432,11792,3771,14161,24830
-5888,26196,-6928,-4075,32767,32767
-32768,18064,-20460,-16896,32767,27438
-24644,-7980,-252,-8388,32767,-6738
