4948,28656,32767,-31919,8351,-6696
-9876,18336,24812,-32768,-12325,-1744
-220,2544,15812,-32768,-23054,11213
-2568,-15096,12968,-10573,-3581,19551
-1276,-24992,23412,-5187,16386,6613
-24688,-20960,32767,11517,32767,-20116
-31996,-16784,16852,18739,32767,-32768
-32768,-1592,26272,32767,32767,-23982
-16332,-16812,19552,8819,-3840,3882
-14848,-24496,17160,4188,-9915,4201
-15484,-18348,32064,6698,-10477,6786
-15548,-12948,23408,-15095,-32768,27661
428,-19340,-2068,7424,-32768,10740
3872,-8836,23928,26657,4813,-3943
-2340,9096,31132,32767,20662,-2022
-1020,17560,32524,32767,13431,4077
-1372,13392,32260,23285,22479,-4982
-4072,2972,32767,11158,19877,-3329
-388,2384,27224,2929,11928,-1859
492,472,24676,-2055,21664,94
