6780,-10468,12092,4627,-32768,4228
7572,-424,18324,-286,-11681,292
7140,5448,32767,-15842,3102,-2572
23928,20884,32767,-28797,5029,2498
3888,19512,20716,-28216,7246,4662
-3332,-3396,13820,-27730,8383,4962
-3456,-17508,17292,-17132,-6992,8477
-6984,-20284,22184,-4127,32767,2599
-32768,-13528,28396,11826,32767,-25802
-27172,-12208,5548,28933,32767,-32768
-18076,-12424,32767,7260,5529,2986
-12596,-16560,30816,5810,7329,-6277
-6064,-14068,25260,-18142,-32768,18081
4624,-20128,19828,584,-32768,14471
6552,-3140,28948,32767,3321,3602
-8448,11212,32767,32767,8328,14337
-7860,7448,32767,23131,14521,6630
-2480,3568,32767,19806,15609,5486
-7460,848,26464,15479,28715,14583
-8980,1472,26980,15886,31359,1211
