-13724,16364,25816,532,-20191,12498
2012,32767,23616,-32768,-9479,-4547
7268,14508,-10292,-32768,10593,-17293
5768,-10380,9452,-18696,9774,-21361
1108,-17784,17416,-12007,18589,-6814
-6992,-20968,26804,-11019,10705,1324
-19220,-21316,18908,-9257,10342,14150
-22484,2728,-6428,-17100,7574,13686
-14456,2624,-3276,32767,-16604,6249
-15660,11940,21128,32767,4243,7785
-17288,-2340,28204,32767,7472,4389
-9652,-7532,26028,12992,-2412,2945
-4672,-5800,20032,8646,3012,5159
-5036,-4792,12964,-13504,8715,1627
-7516,1408,-13304,-32768,8395,25479
-15504,5076,-14012,-30176,3875,32767
-17500,6404,-844,-11195,20029,19622
-6804,-1044,10232,579,5118,-4345
-4216,560,15576,-3784,5789,740
-516,0,13772,-1429,2477,-942
