2836,-8344,6792,-18045,-4230,-4257
1904,-17384,16088,-4804,-1375,-113
-1900,-16636,28628,-1698,-2343,1056
-7776,-17296,3808,-5403,32767,7807
-20356,-26708,20364,20736,-17071,-2463
-17960,-18364,3176,543,4856,2733
-12888,-17516,-9772,297,6416,4970
-9344,-13716,-760,17975,828,5390
-7404,-7052,2612,25894,-2933,10304
-17528,-2824,17200,21269,3228,11202
-20420,-9104,18060,17754,-1226,7551
-21844,-14220,21148,8066,-2355,2779
-20308,-16068,14756,-795,2197,-733
-15568,-16048,8604,-1023,-1201,-1459
-15784,-16128,10004,-373,1048,-899
-15296,-17008,9384,-2136,78,-689
-16836,-16684,9188,266,-75,731
-15296,-16648,9360,422,-636,517
-14808,-16936,8672,1146,-1704,737
-17180,-16484,12020,478,40,1403
