-8008,17996,28560,-28230,-8999,-10426
-1080,15308,23384,-32768,-2461,-13690
3352,-3248,11104,-24511,-498,-7057
-784,-19072,9216,-7518,-792,411
-1608,-15788,27648,1010,1384,-1490
-5908,-16800,12688,-2623,32767,-10273
-21536,-25204,32767,-5244,17957,-11456
-12804,-15600,-404,4184,-5058,1547
-15228,-19900,5224,-3113,-608,-920
-11140,-21052,-10324,3799,-1978,38
-7456,-12500,-2376,24901,-1275,7302
-15644,-1780,10136,24542,2270,12968
-14656,-6968,8156,23994,-2995,8826
-19884,-10148,22068,18560,-2055,9308
-17280,-12892,20612,3547,-3681,819
-18564,-11764,19004,4820,-239,4991
-13300,-12036,14224,17554,-4163,991
-4580,-5676,17192,1392,-19287,4717
616,-8516,13072,3797,-4785,20829
-14736,-4884,6440,-16164,25757,21420
