-18340,11176,30604,-32768,-32768,27600
5096,-7344,-864,4817,-14049,3051
-1028,2040,23408,3106,682,-1572
3808,412,24292,6518,-8122,-1170
8976,26896,32767,-23366,-2087,5020
7188,32767,24692,-32768,12998,11988
-3376,12036,632,-32768,7345,-1370
720,-18616,4832,-12884,-2380,5826
-21600,-15060,9128,30049,32767,-31219
-28768,-4296,32767,7153,-8292,-6785
-18500,-22280,7596,-9063,24268,-9836
-16332,-16248,-7288,27469,-17660,5632
-19156,-3740,5092,32767,-1937,-3550
-20624,5056,32767,27996,-3699,3111
-16000,-3732,32767,13289,-3955,-1010
-12300,-12792,30792,3952,-2077,2116
-588,-12140,18416,-873,11002,4585
-776,-1788,14604,999,6980,20626
-12276,12664,9332,-2209,27288,29046
-21792,19556,-4504,-20327,29505,29745
