-5828,30352,29708,-12429,-12783,2161
11164,32767,-1056,-32768,2541,-28506
12120,-5708,1468,-32768,7641,-30200
4192,-19032,6936,-6168,10866,-5905
-2256,-17444,25980,-479,7342,1101
-22364,-16892,24624,-12710,31448,6898
-22344,-6500,-3480,-31347,22933,11196
-9900,2808,-11556,32767,-4878,12550
-2340,14612,1904,32767,-3296,11645
-12812,-2828,32767,32030,-15088,1508
-13108,-6588,32767,6240,-5519,-1562
-5748,-10160,27488,-4111,-5149,400
-6144,-9272,17144,-6042,12857,6101
-5032,-5048,8576,-15286,2400,20716
-10160,764,-3300,-17087,10739,30235
-11368,8172,-5000,-11173,14294,29950
-16624,7084,1136,-10837,32734,17710
-8688,1656,13588,12218,23084,-2368
-4712,-236,12836,1247,-1978,-994
-2368,944,15392,-1372,-4815,-1019
