704,13412,16080,15568,-21031,23044
5360,32767,10480,-32768,-1261,-1040
12624,-960,-10940,-32768,23145,-32768
9612,-13132,468,-26744,13642,-16838
-3536,-13372,32767,-8892,12295,-6084
-6056,-18212,22860,842,12270,7174
-23836,-14280,22272,-9186,18353,13177
-25084,-2576,-7992,-20055,24324,3344
-8636,6692,-10800,32767,-17130,-270
-19004,19296,29248,32767,11119,10732
-17984,-5968,32767,23961,5187,4423
-8140,-9304,23224,11635,-425,2874
-2752,-8036,22340,2950,-1697,12214
-1492,-812,10412,-16767,9387,19217
-16836,7824,-3860,-21923,24685,30776
-16140,13732,332,-17271,31636,24937
-10992,-184,2444,-15369,17134,11881
-5152,-492,14256,7268,8380,3936
-4204,796,15812,-1212,-6184,1913
1100,-568,14820,-455,741,-1638
